Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
2.464902e+000	1.189922e+001
2.477343e+000	1.191328e+001
2.491835e+000	1.192813e+001
2.506054e+000	1.194512e+001
2.515488e+000	1.195391e+001
2.527519e+000	1.196895e+001
2.542695e+000	1.197754e+001
2.558144e+000	1.199590e+001
2.568125e+000	1.201152e+001
2.579746e+000	1.202266e+001
2.593281e+000	1.203203e+001
2.603535e+000	1.205059e+001
2.614609e+000	1.206484e+001
2.632929e+000	1.207949e+001
2.647968e+000	1.208789e+001
2.656582e+000	1.210547e+001
2.670117e+000	1.212676e+001
2.680918e+000	1.213379e+001
2.697187e+000	1.215039e+001
2.709355e+000	1.215977e+001
2.717832e+000	1.217266e+001
2.731914e+000	1.217500e+001
2.746953e+000	1.219121e+001
2.757890e+000	1.220508e+001
2.771835e+000	1.222793e+001
2.783183e+000	1.224512e+001
2.795078e+000	1.226055e+001
2.807519e+000	1.227266e+001
2.822285e+000	1.228106e+001
2.833769e+000	1.228731e+001
2.848535e+000	1.229785e+001
2.857421e+000	1.231348e+001
2.868496e+000	1.232832e+001
2.883535e+000	1.234199e+001
2.896660e+000	1.236016e+001
2.911972e+000	1.237539e+001
2.922636e+000	1.238848e+001
2.933574e+000	1.240098e+001
2.944375e+000	1.240781e+001
2.961054e+000	1.242168e+001
2.972265e+000	1.243574e+001
2.986621e+000	1.244590e+001
2.999746e+000	1.245703e+001
3.011777e+000	1.247070e+001
3.023808e+000	1.248633e+001
3.033652e+000	1.249453e+001
3.048691e+000	1.250586e+001
3.058261e+000	1.252695e+001
3.075625e+000	1.253828e+001
3.086015e+000	1.255430e+001
3.097363e+000	1.256914e+001
3.110761e+000	1.258711e+001
3.124980e+000	1.259512e+001
3.135918e+000	1.259297e+001
3.147949e+000	1.259824e+001
3.162988e+000	1.261641e+001
3.175839e+000	1.263555e+001
3.187734e+000	1.265156e+001
3.202773e+000	1.266660e+001
3.212207e+000	1.268145e+001
3.223964e+000	1.269453e+001
3.238730e+000	1.270117e+001
3.251718e+000	1.271348e+001
3.265253e+000	1.272090e+001
3.277285e+000	1.273086e+001
3.290957e+000	1.274551e+001
3.299023e+000	1.275508e+001
3.314335e+000	1.276875e+001
3.327597e+000	1.278496e+001
3.339082e+000	1.279297e+001
