Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
1.061867e+001	1.764375e+001
1.063084e+001	1.764453e+001
1.064779e+001	1.765137e+001
1.065777e+001	1.765820e+001
1.067240e+001	1.766231e+001
1.068307e+001	1.766660e+001
1.069441e+001	1.767930e+001
1.070973e+001	1.768301e+001
1.072244e+001	1.768731e+001
1.073105e+001	1.769160e+001
1.074623e+001	1.769844e+001
1.075977e+001	1.770488e+001
1.077467e+001	1.770410e+001
1.078725e+001	1.770996e+001
1.079818e+001	1.771914e+001
1.081404e+001	1.772070e+001
1.082512e+001	1.772519e+001
1.083783e+001	1.773106e+001
1.085178e+001	1.773691e+001
1.086258e+001	1.774219e+001
1.087502e+001	1.774883e+001
1.088582e+001	1.775508e+001
1.089703e+001	1.776250e+001
1.091480e+001	1.776133e+001
1.092246e+001	1.777324e+001
1.093463e+001	1.777754e+001
1.095090e+001	1.777969e+001
1.096197e+001	1.778438e+001
1.097633e+001	1.779297e+001
1.099027e+001	1.779902e+001
1.100490e+001	1.780313e+001
1.101242e+001	1.780527e+001
1.102828e+001	1.781094e+001
1.103744e+001	1.781953e+001
1.105645e+001	1.781797e+001
1.106615e+001	1.782734e+001
1.107695e+001	1.783320e+001
1.109076e+001	1.783770e+001
1.110047e+001	1.784434e+001
1.111551e+001	1.784727e+001
1.112781e+001	1.785430e+001
1.114189e+001	1.785449e+001
1.115352e+001	1.785938e+001
1.116418e+001	1.787148e+001
1.117703e+001	1.787148e+001
1.119371e+001	1.787285e+001
1.120260e+001	1.788047e+001
1.121613e+001	1.788789e+001
1.122693e+001	1.789336e+001
1.124020e+001	1.789512e+001
1.125127e+001	1.789492e+001
1.126617e+001	1.790195e+001
1.127711e+001	1.790664e+001
1.129311e+001	1.791035e+001
1.130541e+001	1.790996e+001
1.131635e+001	1.791445e+001
1.132605e+001	1.791973e+001
1.134232e+001	1.792871e+001
1.135572e+001	1.793145e+001
1.136912e+001	1.793496e+001
1.137938e+001	1.794316e+001
1.139127e+001	1.794844e+001
1.140453e+001	1.795488e+001
1.141766e+001	1.796191e+001
1.142887e+001	1.796523e+001
1.144459e+001	1.796816e+001
1.145498e+001	1.797422e+001
1.146783e+001	1.797734e+001
1.147932e+001	1.798340e+001
1.149326e+001	1.799082e+001
1.150762e+001	1.799687e+001
1.152061e+001	1.800039e+001
1.153018e+001	1.801152e+001
1.154207e+001	1.801035e+001
1.155807e+001	1.801758e+001
1.157393e+001	1.802012e+001
1.157803e+001	1.802305e+001
1.159512e+001	1.803008e+001
1.160988e+001	1.803359e+001
1.162041e+001	1.804102e+001
1.163354e+001	1.804551e+001
1.164611e+001	1.804844e+001
1.165828e+001	1.805293e+001
1.167018e+001	1.805566e+001
1.168330e+001	1.805918e+001
1.169369e+001	1.806680e+001
1.171092e+001	1.806465e+001
1.172254e+001	1.807481e+001
1.173785e+001	1.807852e+001
1.174646e+001	1.808047e+001
1.176314e+001	1.808379e+001
1.177053e+001	1.809043e+001
1.178762e+001	1.808809e+001
1.179814e+001	1.809961e+001
1.181277e+001	1.810313e+001
1.182563e+001	1.810938e+001
1.183875e+001	1.811094e+001
1.185105e+001	1.811602e+001
1.186350e+001	1.811856e+001
1.188045e+001	1.812520e+001
1.188865e+001	1.812832e+001
1.190287e+001	1.813281e+001
1.191148e+001	1.813633e+001
1.192338e+001	1.814746e+001
1.194061e+001	1.814844e+001
1.194895e+001	1.815742e+001
1.196658e+001	1.816191e+001
1.197643e+001	1.816484e+001
1.199146e+001	1.816602e+001
1.200131e+001	1.817031e+001
1.201525e+001	1.817285e+001
1.202537e+001	1.818008e+001
1.204301e+001	1.818398e+001
1.205381e+001	1.818809e+001
1.206611e+001	1.819258e+001
1.207746e+001	1.819922e+001
1.209551e+001	1.820391e+001
1.210098e+001	1.820410e+001
1.211889e+001	1.821250e+001
1.212887e+001	1.821348e+001
1.214445e+001	1.822500e+001
1.215566e+001	1.822793e+001
1.216769e+001	1.822871e+001
1.218246e+001	1.823262e+001
1.219709e+001	1.823809e+001
1.220816e+001	1.824336e+001
1.222184e+001	1.824727e+001
1.223346e+001	1.825117e+001
1.224521e+001	1.825391e+001
1.225807e+001	1.825898e+001
1.227393e+001	1.826328e+001
1.228377e+001	1.826543e+001
1.229922e+001	1.827168e+001
1.231125e+001	1.827598e+001
1.232246e+001	1.828125e+001
1.233709e+001	1.827852e+001
1.234939e+001	1.828945e+001
1.236143e+001	1.829629e+001
1.237373e+001	1.829512e+001
1.238699e+001	1.830098e+001
1.239930e+001	1.830723e+001
1.241187e+001	1.830723e+001
1.242787e+001	1.831074e+001
1.243689e+001	1.832109e+001
1.244947e+001	1.832227e+001
1.246328e+001	1.833066e+001
1.247436e+001	1.832910e+001
1.248775e+001	1.833574e+001
1.249979e+001	1.833965e+001
1.251346e+001	1.834277e+001
1.252809e+001	1.834590e+001
1.253943e+001	1.835000e+001
1.254955e+001	1.835430e+001
1.256336e+001	1.835723e+001
1.257785e+001	1.836211e+001
1.258715e+001	1.836621e+001
1.260396e+001	1.836758e+001
1.261463e+001	1.837500e+001
1.262611e+001	1.838457e+001
1.263773e+001	1.838809e+001
1.264922e+001	1.838789e+001
1.266166e+001	1.839648e+001
1.267848e+001	1.839648e+001
1.269242e+001	1.839746e+001
1.270350e+001	1.840234e+001
1.271594e+001	1.840625e+001
1.272633e+001	1.840859e+001
1.273973e+001	1.841289e+001
1.275176e+001	1.841992e+001
1.276543e+001	1.842402e+001
1.277924e+001	1.842793e+001
1.279428e+001	1.842793e+001
1.280385e+001	1.843281e+001
1.281629e+001	1.843750e+001
1.283160e+001	1.844356e+001
1.284213e+001	1.843965e+001
1.285457e+001	1.844981e+001
1.286551e+001	1.845586e+001
1.288178e+001	1.845703e+001
1.289217e+001	1.846191e+001
1.290529e+001	1.846523e+001
1.291719e+001	1.846816e+001
1.293223e+001	1.847383e+001
1.294371e+001	1.847813e+001
1.295506e+001	1.848281e+001
1.297010e+001	1.848379e+001
1.298008e+001	1.849277e+001
1.299225e+001	1.849160e+001
1.300770e+001	1.849297e+001
1.301932e+001	1.849609e+001
1.303313e+001	1.850176e+001
1.304734e+001	1.850410e+001
1.305760e+001	1.851367e+001
1.307264e+001	1.851719e+001
1.308234e+001	1.851894e+001
1.309752e+001	1.852617e+001
1.311160e+001	1.852500e+001
1.312582e+001	1.852617e+001
1.313881e+001	1.853379e+001
1.315002e+001	1.853731e+001
1.316369e+001	1.854023e+001
1.317189e+001	1.854551e+001
1.318844e+001	1.855098e+001
1.319787e+001	1.855469e+001
1.320936e+001	1.855410e+001
1.322111e+001	1.855996e+001
1.323451e+001	1.856152e+001
1.325105e+001	1.856445e+001
1.326172e+001	1.856797e+001
1.327621e+001	1.856914e+001
1.328729e+001	1.857910e+001
1.329727e+001	1.858066e+001
1.331244e+001	1.858613e+001
1.332680e+001	1.858828e+001
1.333965e+001	1.859180e+001
1.335291e+001	1.859434e+001
1.336398e+001	1.859824e+001
1.337615e+001	1.860781e+001
1.339146e+001	1.860918e+001
1.340240e+001	1.861230e+001
1.341689e+001	1.861719e+001
1.343166e+001	1.861797e+001
1.344137e+001	1.862070e+001
1.345490e+001	1.862598e+001
1.346762e+001	1.862969e+001
1.347787e+001	1.863438e+001
1.349182e+001	1.863848e+001
1.350453e+001	1.864043e+001
1.352012e+001	1.863789e+001
1.353352e+001	1.864512e+001
1.354418e+001	1.864180e+001
1.355252e+001	1.864941e+001
1.356633e+001	1.865215e+001
1.357768e+001	1.865469e+001
1.359271e+001	1.866465e+001
1.360680e+001	1.866543e+001
1.361746e+001	1.866992e+001
1.363387e+001	1.867383e+001
1.364289e+001	1.867285e+001
1.365615e+001	1.867969e+001
1.367037e+001	1.868184e+001
1.368035e+001	1.868906e+001
1.369457e+001	1.869336e+001
1.370728e+001	1.869707e+001
1.371918e+001	1.869805e+001
1.372998e+001	1.870059e+001
1.374270e+001	1.870801e+001
1.375910e+001	1.870762e+001
1.376813e+001	1.870859e+001
1.378234e+001	1.871035e+001
1.379355e+001	1.871934e+001
1.380709e+001	1.872344e+001
1.381680e+001	1.872519e+001
1.383307e+001	1.872832e+001
1.384236e+001	1.872891e+001
1.385959e+001	1.873828e+001
1.386766e+001	1.874160e+001
1.387928e+001	1.874434e+001
1.389281e+001	1.874902e+001
1.390635e+001	1.874785e+001
1.391975e+001	1.875449e+001
1.393383e+001	1.875391e+001
1.394832e+001	1.876133e+001
1.395762e+001	1.876660e+001
1.397170e+001	1.876875e+001
1.398387e+001	1.876973e+001
1.399316e+001	1.877559e+001
1.401012e+001	1.877324e+001
1.402324e+001	1.877734e+001
1.403295e+001	1.878027e+001
1.404758e+001	1.878496e+001
1.405975e+001	1.878496e+001
1.407205e+001	1.878926e+001
1.408299e+001	1.879297e+001
1.409980e+001	1.879727e+001
1.411307e+001	1.880254e+001
1.412359e+001	1.880293e+001
1.413467e+001	1.880937e+001
1.414875e+001	1.880840e+001
1.415900e+001	1.881582e+001
1.417363e+001	1.881621e+001
1.418785e+001	1.882109e+001
1.419564e+001	1.882598e+001
1.421191e+001	1.882285e+001
1.422900e+001	1.882891e+001
1.423803e+001	1.883125e+001
1.425115e+001	1.883281e+001
1.426414e+001	1.884102e+001
1.427467e+001	1.884082e+001
1.429066e+001	1.884121e+001
1.430160e+001	1.884414e+001
1.431240e+001	1.885313e+001
1.432621e+001	1.885098e+001
1.434344e+001	1.885176e+001
1.435424e+001	1.885859e+001
1.436299e+001	1.886133e+001
1.438062e+001	1.886641e+001
1.439279e+001	1.886914e+001
1.440578e+001	1.887246e+001
1.442137e+001	1.887461e+001
1.443271e+001	1.887969e+001
1.444857e+001	1.887910e+001
1.446074e+001	1.888457e+001
1.447414e+001	1.888945e+001
1.448480e+001	1.888965e+001
1.449793e+001	1.889434e+001
1.450996e+001	1.889258e+001
1.452309e+001	1.889981e+001
1.453717e+001	1.889941e+001
1.455152e+001	1.890332e+001
1.455877e+001	1.890820e+001
1.457162e+001	1.890703e+001
1.458898e+001	1.890918e+001
1.459924e+001	1.891504e+001
1.461264e+001	1.891465e+001
1.462426e+001	1.891777e+001
1.463738e+001	1.892031e+001
1.465010e+001	1.892559e+001
1.465994e+001	1.892891e+001
1.467621e+001	1.893066e+001
1.468715e+001	1.893789e+001
1.470574e+001	1.893711e+001
1.471395e+001	1.894629e+001
1.472529e+001	1.894375e+001
1.473979e+001	1.894570e+001
1.475414e+001	1.894668e+001
1.476713e+001	1.894629e+001
1.477601e+001	1.895605e+001
1.478736e+001	1.895586e+001
1.480145e+001	1.896231e+001
1.481225e+001	1.896758e+001
1.482770e+001	1.896875e+001
1.484164e+001	1.897012e+001
1.485395e+001	1.897148e+001
1.486748e+001	1.897617e+001
1.487746e+001	1.897832e+001
1.489100e+001	1.898203e+001
1.490316e+001	1.898789e+001
1.491342e+001	1.899141e+001
1.492627e+001	1.898945e+001
1.493584e+001	1.899512e+001
1.495457e+001	1.899883e+001
1.496428e+001	1.900293e+001
1.498219e+001	1.900586e+001
1.499053e+001	1.900566e+001
1.500311e+001	1.900566e+001
1.501732e+001	1.901191e+001
1.503141e+001	1.901484e+001
1.504426e+001	1.901406e+001
1.505314e+001	1.902090e+001
1.506791e+001	1.901992e+001
1.507994e+001	1.902461e+001
1.509635e+001	1.902715e+001
1.510797e+001	1.903203e+001
1.511713e+001	1.903164e+001
1.513189e+001	1.903945e+001
1.514365e+001	1.903633e+001
1.515445e+001	1.903613e+001
1.516689e+001	1.904492e+001
1.517811e+001	1.904688e+001
1.519314e+001	1.904629e+001
1.520709e+001	1.904805e+001
1.521707e+001	1.905410e+001
1.522814e+001	1.905703e+001
1.524687e+001	1.906113e+001
1.525973e+001	1.906055e+001
1.526793e+001	1.906055e+001
1.528461e+001	1.906445e+001
1.529281e+001	1.906563e+001
1.530594e+001	1.907207e+001
1.532139e+001	1.907969e+001
1.533355e+001	1.908008e+001
1.534695e+001	1.908242e+001
1.535912e+001	1.908535e+001
1.536951e+001	1.909043e+001
1.538441e+001	1.909062e+001
1.539781e+001	1.909688e+001
1.540615e+001	1.909688e+001
1.542188e+001	1.909922e+001
1.543418e+001	1.910449e+001
1.544689e+001	1.910723e+001
1.546344e+001	1.910918e+001
1.547533e+001	1.911328e+001
1.548559e+001	1.911602e+001
1.549871e+001	1.911602e+001
1.551348e+001	1.911738e+001
1.552318e+001	1.912031e+001
1.553658e+001	1.912266e+001
1.554889e+001	1.912324e+001
1.556051e+001	1.912051e+001
1.557801e+001	1.912871e+001
1.558607e+001	1.913086e+001
1.559564e+001	1.913359e+001
1.561164e+001	1.913477e+001
1.562504e+001	1.914375e+001
1.563775e+001	1.914258e+001
1.565279e+001	1.914707e+001
1.566564e+001	1.914727e+001
1.567590e+001	1.914570e+001
1.568861e+001	1.915410e+001
1.570105e+001	1.915508e+001
1.571363e+001	1.915859e+001
1.572689e+001	1.916152e+001
1.574002e+001	1.916719e+001
1.575205e+001	1.916699e+001
1.576545e+001	1.917246e+001
1.577830e+001	1.917012e+001
1.578801e+001	1.917383e+001
1.580373e+001	1.917402e+001
1.581535e+001	1.917832e+001
1.583025e+001	1.917734e+001
1.583818e+001	1.918809e+001
1.584980e+001	1.918477e+001
1.586539e+001	1.918731e+001
1.587933e+001	1.919199e+001
1.589014e+001	1.919141e+001
1.590367e+001	1.919609e+001
1.591433e+001	1.919824e+001
1.593074e+001	1.920371e+001
1.594209e+001	1.920156e+001
1.595275e+001	1.920938e+001
1.596807e+001	1.921035e+001
1.598297e+001	1.921016e+001
1.599555e+001	1.921426e+001
1.600689e+001	1.921621e+001
1.601674e+001	1.922188e+001
1.602904e+001	1.922090e+001
1.604299e+001	1.921856e+001
1.605270e+001	1.921992e+001
1.606746e+001	1.922871e+001
1.608045e+001	1.922285e+001
1.609098e+001	1.923106e+001
1.610629e+001	1.923047e+001
1.611709e+001	1.923223e+001
1.612967e+001	1.924414e+001
1.614484e+001	1.924180e+001
1.615646e+001	1.924375e+001
1.616672e+001	1.925020e+001
1.618012e+001	1.924648e+001
1.619324e+001	1.925410e+001
1.620705e+001	1.925586e+001
1.621935e+001	1.925840e+001
1.623275e+001	1.926035e+001
1.624396e+001	1.926094e+001
1.625736e+001	1.925977e+001
1.626871e+001	1.926445e+001
1.628266e+001	1.926309e+001
1.629674e+001	1.926973e+001
1.631137e+001	1.926836e+001
1.631889e+001	1.927637e+001
1.633105e+001	1.926973e+001
1.634992e+001	1.927383e+001
1.635867e+001	1.927852e+001
1.636810e+001	1.927773e+001
1.638533e+001	1.928418e+001
1.639723e+001	1.928555e+001
1.640926e+001	1.928691e+001
1.642183e+001	1.929121e+001
1.643414e+001	1.929590e+001
1.644563e+001	1.929785e+001
1.646039e+001	1.930019e+001
1.647434e+001	1.930410e+001
1.648514e+001	1.930488e+001
1.649553e+001	1.930762e+001
1.650797e+001	1.930898e+001
1.652465e+001	1.931211e+001
1.653340e+001	1.931191e+001
1.654953e+001	1.931875e+001
1.656402e+001	1.932031e+001
1.657769e+001	1.932051e+001
1.658904e+001	1.932363e+001
1.660148e+001	1.932813e+001
1.661283e+001	1.932754e+001
1.662869e+001	1.932852e+001
1.663976e+001	1.933496e+001
1.665275e+001	1.932891e+001
1.666492e+001	1.933731e+001
1.667982e+001	1.933496e+001
1.669090e+001	1.933789e+001
1.670648e+001	1.934102e+001
1.671892e+001	1.934297e+001
1.673191e+001	1.934805e+001
1.674408e+001	1.934551e+001
1.675406e+001	1.935176e+001
1.676842e+001	1.935156e+001
1.678168e+001	1.935078e+001
1.679289e+001	1.935488e+001
1.680574e+001	1.935879e+001
1.681914e+001	1.936191e+001
1.683021e+001	1.935938e+001
1.684320e+001	1.936523e+001
1.685674e+001	1.936465e+001
1.686808e+001	1.936797e+001
1.688381e+001	1.937129e+001
1.689392e+001	1.937461e+001
1.690719e+001	1.937539e+001
1.692086e+001	1.937754e+001
1.692674e+001	1.937871e+001
1.694615e+001	1.938496e+001
1.695818e+001	1.938809e+001
1.697144e+001	1.939199e+001
1.698252e+001	1.939121e+001
1.700016e+001	1.939238e+001
1.701219e+001	1.939746e+001
1.702217e+001	1.939512e+001
1.703748e+001	1.939414e+001
1.705074e+001	1.940000e+001
1.706182e+001	1.940176e+001
1.707767e+001	1.940234e+001
1.708478e+001	1.940410e+001
1.710064e+001	1.940332e+001
1.711322e+001	1.940469e+001
1.712211e+001	1.941133e+001
1.713510e+001	1.941172e+001
1.714904e+001	1.941328e+001
1.716066e+001	1.941953e+001
1.717488e+001	1.941895e+001
1.718732e+001	1.942266e+001
1.719976e+001	1.942402e+001
1.721344e+001	1.942695e+001
1.722601e+001	1.942598e+001
1.723668e+001	1.942461e+001
1.725021e+001	1.942910e+001
1.726320e+001	1.943301e+001
1.727646e+001	1.943320e+001
1.728508e+001	1.943691e+001
1.730189e+001	1.943750e+001
1.731516e+001	1.943789e+001
1.732281e+001	1.943984e+001
1.733662e+001	1.944082e+001
1.735262e+001	1.944238e+001
1.736861e+001	1.944590e+001
1.737668e+001	1.944785e+001
1.739021e+001	1.945391e+001
1.740211e+001	1.945215e+001
1.741510e+001	1.945625e+001
1.743342e+001	1.945898e+001
1.744203e+001	1.945625e+001
1.745283e+001	1.946055e+001
1.746582e+001	1.946309e+001
1.747744e+001	1.946231e+001
1.748851e+001	1.946992e+001
1.750656e+001	1.947188e+001
1.751805e+001	1.947519e+001
1.753049e+001	1.947324e+001
1.754512e+001	1.947754e+001
1.755441e+001	1.947637e+001
1.756918e+001	1.948106e+001
1.757902e+001	1.948164e+001
1.759174e+001	1.948457e+001
1.760281e+001	1.948867e+001
1.761976e+001	1.948828e+001
1.763426e+001	1.948633e+001
1.764328e+001	1.948633e+001
1.765476e+001	1.949277e+001
1.766680e+001	1.949473e+001
1.768156e+001	1.949727e+001
1.769414e+001	1.949785e+001
1.770590e+001	1.950039e+001
1.771834e+001	1.950273e+001
1.772955e+001	1.949981e+001
1.774432e+001	1.950098e+001
1.775580e+001	1.950684e+001
1.776756e+001	1.950781e+001
1.777781e+001	1.951426e+001
1.779463e+001	1.951172e+001
1.780406e+001	1.951602e+001
1.782006e+001	1.951719e+001
1.783031e+001	1.952031e+001
1.784604e+001	1.951992e+001
1.785629e+001	1.952051e+001
1.786941e+001	1.952441e+001
1.787926e+001	1.952598e+001
1.789279e+001	1.952168e+001
1.790797e+001	1.952969e+001
1.791672e+001	1.953066e+001
1.792943e+001	1.953379e+001
1.794557e+001	1.953008e+001
1.795609e+001	1.954238e+001
1.797086e+001	1.954141e+001
1.798426e+001	1.954180e+001
1.799547e+001	1.954453e+001
1.801160e+001	1.954336e+001
1.802377e+001	1.954922e+001
1.803457e+001	1.954863e+001
1.804619e+001	1.954824e+001
1.806014e+001	1.955156e+001
1.807367e+001	1.955019e+001
1.808502e+001	1.955293e+001
1.809527e+001	1.955723e+001
1.811058e+001	1.956231e+001
1.812521e+001	1.955410e+001
1.813642e+001	1.955840e+001
1.814996e+001	1.955879e+001
1.816281e+001	1.956328e+001
1.817389e+001	1.956426e+001
1.818811e+001	1.956621e+001
1.819973e+001	1.956504e+001
1.821395e+001	1.957520e+001
1.822078e+001	1.957539e+001
1.823596e+001	1.956953e+001
1.824730e+001	1.957344e+001
1.826002e+001	1.957617e+001
1.827533e+001	1.957871e+001
1.828941e+001	1.957734e+001
1.830254e+001	1.958027e+001
1.831607e+001	1.957793e+001
1.832783e+001	1.958262e+001
1.833986e+001	1.958535e+001
1.835162e+001	1.958652e+001
1.836611e+001	1.958672e+001
1.838033e+001	1.958887e+001
1.839141e+001	1.959102e+001
1.840412e+001	1.959258e+001
1.841533e+001	1.959531e+001
1.842928e+001	1.959238e+001
1.844363e+001	1.959199e+001
1.845238e+001	1.959746e+001
1.846496e+001	1.960254e+001
1.847645e+001	1.960352e+001
1.849299e+001	1.960508e+001
1.850447e+001	1.960332e+001
1.851363e+001	1.960586e+001
1.852881e+001	1.961152e+001
1.854070e+001	1.961172e+001
1.855082e+001	1.961816e+001
1.856805e+001	1.961875e+001
1.857926e+001	1.962324e+001
1.859293e+001	1.962227e+001
1.860332e+001	1.962656e+001
1.861604e+001	1.962832e+001
1.862752e+001	1.963086e+001
1.864119e+001	1.962559e+001
1.865568e+001	1.962520e+001
1.866908e+001	1.963184e+001
1.868316e+001	1.963164e+001
1.869410e+001	1.963496e+001
1.870723e+001	1.963203e+001
1.872035e+001	1.963906e+001
1.873238e+001	1.963652e+001
1.874715e+001	1.963691e+001
1.876082e+001	1.963926e+001
1.877463e+001	1.963672e+001
1.878652e+001	1.964141e+001
1.879951e+001	1.964102e+001
1.881277e+001	1.964355e+001
1.882330e+001	1.964727e+001
1.883588e+001	1.964981e+001
1.885051e+001	1.965078e+001
1.886732e+001	1.965234e+001
1.887730e+001	1.965234e+001
1.888701e+001	1.965410e+001
1.890301e+001	1.965508e+001
1.891408e+001	1.965410e+001
1.892543e+001	1.966016e+001
1.894074e+001	1.965684e+001
1.895195e+001	1.965723e+001
1.896562e+001	1.966465e+001
1.897684e+001	1.966406e+001
1.898887e+001	1.966250e+001
1.900090e+001	1.966816e+001
1.901484e+001	1.966738e+001
1.902701e+001	1.967207e+001
1.903932e+001	1.967383e+001
1.905053e+001	1.967559e+001
1.906324e+001	1.967559e+001
1.907541e+001	1.967734e+001
1.909031e+001	1.967754e+001
1.910084e+001	1.968047e+001
1.911492e+001	1.968594e+001
1.913023e+001	1.968711e+001
1.913885e+001	1.968965e+001
1.915252e+001	1.968281e+001
1.916660e+001	1.968906e+001
1.918191e+001	1.968691e+001
1.919107e+001	1.968926e+001
1.920393e+001	1.969121e+001
1.921459e+001	1.969434e+001
1.922990e+001	1.969063e+001
1.924084e+001	1.969766e+001
1.925520e+001	1.969199e+001
1.926955e+001	1.969453e+001
1.927994e+001	1.970195e+001
1.929252e+001	1.969883e+001
1.930291e+001	1.970137e+001
1.931576e+001	1.970586e+001
1.933053e+001	1.970508e+001
1.934297e+001	1.970742e+001
1.935322e+001	1.971328e+001
1.936703e+001	1.971113e+001
1.938385e+001	1.970625e+001
1.939711e+001	1.971074e+001
1.940545e+001	1.971680e+001
1.942063e+001	1.971289e+001
1.943115e+001	1.971484e+001
1.944332e+001	1.971660e+001
1.945713e+001	1.971953e+001
1.946916e+001	1.971992e+001
1.948379e+001	1.971660e+001
1.949719e+001	1.972207e+001
1.951332e+001	1.972266e+001
1.952070e+001	1.972207e+001
1.953232e+001	1.972656e+001
1.954723e+001	1.972324e+001
1.955816e+001	1.972813e+001
1.957252e+001	1.972402e+001
1.958646e+001	1.973340e+001
1.959918e+001	1.972832e+001
1.961326e+001	1.973496e+001
1.962297e+001	1.973340e+001
1.963240e+001	1.973906e+001
1.964717e+001	1.973769e+001
1.966576e+001	1.974336e+001
1.967519e+001	1.974043e+001
1.968969e+001	1.974336e+001
1.970240e+001	1.974023e+001
1.971184e+001	1.974531e+001
1.972619e+001	1.974512e+001
1.973686e+001	1.974395e+001
1.974943e+001	1.975000e+001
1.976721e+001	1.975176e+001
1.977828e+001	1.974863e+001
1.978744e+001	1.975273e+001
1.980002e+001	1.975488e+001
1.981369e+001	1.975527e+001
1.982559e+001	1.976094e+001
1.984035e+001	1.975723e+001
1.985225e+001	1.975918e+001
1.986769e+001	1.975977e+001
1.987604e+001	1.976270e+001
1.988861e+001	1.976191e+001
1.990188e+001	1.976348e+001
1.991719e+001	1.976426e+001
1.992566e+001	1.976797e+001
1.993988e+001	1.976914e+001
1.995191e+001	1.976973e+001
1.996668e+001	1.977188e+001
1.997803e+001	1.977031e+001
1.999047e+001	1.976934e+001
2.000578e+001	1.977559e+001
2.001781e+001	1.977812e+001
2.003025e+001	1.977441e+001
2.004351e+001	1.977578e+001
2.005527e+001	1.977969e+001
2.006703e+001	1.977676e+001
2.007838e+001	1.977773e+001
2.009369e+001	1.977754e+001
2.010545e+001	1.978125e+001
2.011461e+001	1.978008e+001
2.013020e+001	1.978438e+001
2.014400e+001	1.978516e+001
2.015439e+001	1.978301e+001
2.016998e+001	1.978848e+001
2.018187e+001	1.978477e+001
2.019432e+001	1.979121e+001
2.020717e+001	1.979297e+001
2.022152e+001	1.979297e+001
2.023123e+001	1.979297e+001
2.024476e+001	1.979512e+001
2.025666e+001	1.979863e+001
2.027019e+001	1.979883e+001
2.028387e+001	1.979902e+001
2.029686e+001	1.979824e+001
2.030943e+001	1.979941e+001
2.032010e+001	1.980195e+001
2.033117e+001	1.979883e+001
2.034949e+001	1.980391e+001
2.035674e+001	1.981016e+001
2.036904e+001	1.980566e+001
2.038313e+001	1.979980e+001
2.039666e+001	1.980508e+001
2.040910e+001	1.981094e+001
2.041990e+001	1.981191e+001
2.043303e+001	1.981094e+001
2.044916e+001	1.981016e+001
2.046023e+001	1.970352e+001
2.047213e+001	1.978691e+001
2.048266e+001	1.981016e+001
2.049947e+001	1.981211e+001
2.050904e+001	1.981367e+001
2.052025e+001	1.981484e+001
2.053338e+001	1.981504e+001
2.054814e+001	1.981738e+001
2.056086e+001	1.981680e+001
2.057398e+001	1.981758e+001
2.058574e+001	1.982188e+001
2.059695e+001	1.981816e+001
2.061049e+001	1.981719e+001
2.062266e+001	1.982188e+001
2.063810e+001	1.982637e+001
2.064945e+001	1.982539e+001
2.066244e+001	1.982656e+001
2.067488e+001	1.982793e+001
2.068814e+001	1.983164e+001
2.069922e+001	1.983066e+001
2.071344e+001	1.983457e+001
2.072683e+001	1.983066e+001
2.073750e+001	1.983379e+001
2.074994e+001	1.983789e+001
2.076566e+001	1.983789e+001
2.077920e+001	1.984043e+001
2.078836e+001	1.983906e+001
2.080558e+001	1.983984e+001
2.081666e+001	1.984121e+001
2.082664e+001	1.984316e+001
2.084277e+001	1.983984e+001
2.085398e+001	1.984141e+001
2.086642e+001	1.984492e+001
2.088133e+001	1.984629e+001
2.089254e+001	1.984395e+001
2.090334e+001	1.984316e+001
2.091701e+001	1.984883e+001
2.093328e+001	1.984531e+001
2.094463e+001	1.984551e+001
2.095844e+001	1.985137e+001
2.097348e+001	1.985313e+001
2.098045e+001	1.985254e+001
2.100027e+001	1.985234e+001
2.101313e+001	1.985176e+001
2.102392e+001	1.985391e+001
2.103650e+001	1.985684e+001
2.104607e+001	1.986094e+001
2.105879e+001	1.985898e+001
2.107465e+001	1.986055e+001
2.108805e+001	1.986035e+001
2.110158e+001	1.986035e+001
2.111279e+001	1.985957e+001
2.112318e+001	1.986172e+001
2.113576e+001	1.986172e+001
2.115176e+001	1.986230e+001
2.116215e+001	1.986309e+001
2.117117e+001	1.986738e+001
2.118566e+001	1.986699e+001
2.120002e+001	1.986992e+001
2.120973e+001	1.987090e+001
2.122381e+001	1.987285e+001
2.123680e+001	1.987383e+001
2.124924e+001	1.987012e+001
2.126387e+001	1.987168e+001
2.127398e+001	1.987266e+001
2.128984e+001	1.987793e+001
2.129887e+001	1.988164e+001
2.131609e+001	1.987793e+001
2.132471e+001	1.988184e+001
2.133893e+001	1.988320e+001
2.135082e+001	1.988828e+001
2.136217e+001	1.988438e+001
2.137721e+001	1.988477e+001
2.138951e+001	1.988750e+001
2.140100e+001	1.988652e+001
2.141726e+001	1.988496e+001
2.142725e+001	1.988594e+001
2.143805e+001	1.989219e+001
2.145295e+001	1.988945e+001
2.146430e+001	1.989277e+001
2.148016e+001	1.989453e+001
2.148986e+001	1.989453e+001
2.150189e+001	1.989473e+001
2.151707e+001	1.989492e+001
2.152719e+001	1.989629e+001
2.154045e+001	1.989355e+001
2.155166e+001	1.989648e+001
2.156766e+001	1.989766e+001
2.158037e+001	1.989883e+001
2.159213e+001	1.989512e+001
2.160594e+001	1.989785e+001
2.161715e+001	1.989941e+001
2.162986e+001	1.989922e+001
2.164217e+001	1.990000e+001
