Material: 6061-T6 Aluminum
Tension Test Strain Rate: 0.001/s
Extensometer Gauge Length = 12.70 mm (neck formed between extensometer)
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)	Extensometer(mm)
5.847100e+000	9.597570e+000	2.198140e+000
5.859100e+000	9.560970e+000	2.209190e+000
5.871400e+000	9.555940e+000	2.220960e+000
5.881800e+000	9.539250e+000	2.232720e+000
5.894000e+000	9.527210e+000	2.244080e+000
5.904900e+000	9.524350e+000	2.255880e+000
5.917300e+000	9.501220e+000	2.267480e+000
5.930000e+000	9.499460e+000	2.279010e+000
5.940200e+000	9.477320e+000	2.290870e+000
5.951100e+000	9.473500e+000	2.302470e+000
5.963100e+000	9.448440e+000	2.313980e+000
5.974700e+000	9.433870e+000	2.326060e+000
5.984500e+000	9.436550e+000	2.337550e+000
5.997500e+000	9.408000e+000	2.349500e+000
6.009500e+000	9.393540e+000	2.361450e+000
6.020300e+000	9.388920e+000	2.373380e+000
6.032600e+000	9.363800e+000	2.385010e+000
6.044500e+000	9.358320e+000	2.396890e+000
6.055000e+000	9.350690e+000	2.408420e+000
6.067000e+000	9.324250e+000	2.420090e+000
6.077800e+000	9.323090e+000	2.431730e+000
6.088600e+000	9.303000e+000	2.443320e+000
6.100800e+000	9.281580e+000	2.454360e+000
6.112200e+000	9.268130e+000	2.465310e+000
6.123400e+000	9.251590e+000	2.477110e+000
6.133700e+000	9.234760e+000	2.488350e+000
6.145100e+000	9.230410e+000	2.500270e+000
6.156300e+000	9.214640e+000	2.512090e+000
6.169000e+000	9.191690e+000	2.524020e+000
6.181300e+000	9.180610e+000	2.535690e+000
6.192200e+000	9.173420e+000	2.547150e+000
6.205300e+000	9.132240e+000	2.559030e+000
6.214700e+000	9.140280e+000	2.570830e+000
6.225100e+000	9.124550e+000	2.582430e+000
6.237100e+000	9.098740e+000	2.594120e+000
6.250200e+000	9.091380e+000	2.605800e+000
6.261100e+000	9.074690e+000	2.617720e+000
6.271600e+000	9.057490e+000	2.629220e+000
6.283900e+000	9.030070e+000	2.641240e+000
6.294400e+000	9.030100e+000	2.652770e+000
6.306500e+000	9.007390e+000	2.664400e+000
6.318500e+000	8.986710e+000	2.676260e+000
6.330800e+000	8.977120e+000	2.687400e+000
6.340200e+000	8.962180e+000	2.699120e+000
6.352400e+000	8.935450e+000	2.710550e+000
6.364700e+000	8.941350e+000	2.721900e+000
6.374200e+000	8.909290e+000	2.733540e+000
6.385000e+000	8.893190e+000	2.744430e+000
6.395700e+000	8.889440e+000	2.755370e+000
6.407400e+000	8.859250e+000	2.767100e+000
6.418000e+000	8.844350e+000	2.778790e+000
6.428400e+000	8.846760e+000	2.790090e+000
6.442000e+000	8.818630e+000	2.802260e+000
6.453000e+000	8.793260e+000	2.814270e+000
6.463700e+000	8.796360e+000	2.825920e+000
6.475900e+000	8.774340e+000	2.837900e+000
6.486600e+000	8.746000e+000	2.849790e+000
6.498200e+000	8.726330e+000	2.861970e+000
6.510100e+000	8.727400e+000	2.874010e+000
6.522200e+000	8.701410e+000	2.886080e+000
6.533700e+000	8.677010e+000	2.897880e+000
6.545200e+000	8.653010e+000	2.909850e+000
6.557000e+000	8.629830e+000	2.921920e+000
6.569400e+000	8.631170e+000	2.934180e+000
6.580900e+000	8.612750e+000	2.946000e+000
6.590700e+000	8.583990e+000	2.958370e+000
6.602400e+000	8.574520e+000	2.970150e+000
6.614100e+000	8.547340e+000	2.982260e+000
6.625800e+000	8.527010e+000	2.994220e+000
6.638800e+000	8.512020e+000	3.006180e+000
6.649600e+000	8.485110e+000	3.017940e+000
6.660300e+000	8.468600e+000	3.029750e+000
6.671300e+000	8.459390e+000	3.041180e+000
6.683100e+000	8.430630e+000	3.052810e+000
6.694200e+000	8.413050e+000	3.064910e+000
6.706800e+000	8.412840e+000	3.076930e+000
6.718700e+000	8.378120e+000	3.089190e+000
6.730000e+000	8.354070e+000	3.101180e+000
6.742100e+000	8.356150e+000	3.112880e+000
6.753200e+000	8.316960e+000	3.125460e+000
6.764400e+000	8.302540e+000	3.137160e+000
6.776300e+000	8.292020e+000	3.149060e+000
6.786600e+000	8.270500e+000	3.161170e+000
6.798900e+000	8.236800e+000	3.173120e+000
6.811000e+000	8.235130e+000	3.185570e+000
6.821600e+000	8.198740e+000	3.197510e+000
6.834500e+000	8.178920e+000	3.209860e+000
6.847400e+000	8.168490e+000	3.221570e+000
6.857600e+000	8.139010e+000	3.233510e+000
6.869300e+000	8.127090e+000	3.245500e+000
6.882200e+000	8.092940e+000	3.257260e+000
6.893100e+000	8.077230e+000	3.269470e+000
6.904400e+000	8.068470e+000	3.280870e+000
6.914500e+000	8.033450e+000	3.292890e+000
6.927000e+000	8.016820e+000	3.304470e+000
6.936100e+000	8.009460e+000	3.316220e+000
6.947300e+000	7.982430e+000	3.327330e+000
6.959600e+000	7.949200e+000	3.339140e+000
6.970700e+000	7.939310e+000	3.350800e+000
6.981700e+000	7.914070e+000	3.362020e+000
6.993300e+000	7.896100e+000	3.374580e+000
7.005200e+000	7.871030e+000	3.386500e+000
7.017100e+000	7.857620e+000	3.398620e+000
7.030600e+000	7.828150e+000	3.410750e+000
7.039800e+000	7.810150e+000	3.423250e+000
7.052900e+000	7.790480e+000	3.435290e+000
7.063100e+000	7.766490e+000	3.447540e+000
7.074300e+000	7.752660e+000	3.459880e+000
7.087600e+000	7.724610e+000	3.472320e+000
7.096400e+000	7.700380e+000	3.484870e+000
7.108900e+000	7.671420e+000	3.497220e+000
7.122100e+000	7.660480e+000	3.509690e+000
7.133800e+000	7.614610e+000	3.522520e+000
7.146700e+000	7.606740e+000	3.534460e+000
7.156700e+000	7.577780e+000	3.546780e+000
7.168100e+000	7.546810e+000	3.559460e+000
7.179900e+000	7.519220e+000	3.571690e+000
7.193000e+000	7.504310e+000	3.584330e+000
7.203900e+000	7.473200e+000	3.596200e+000
7.213700e+000	7.462080e+000	3.608050e+000
7.225400e+000	7.444650e+000	3.620040e+000
7.237300e+000	7.405460e+000	3.632190e+000
7.249000e+000	7.387310e+000	3.644630e+000
7.261200e+000	7.361140e+000	3.656790e+000
7.274100e+000	7.323770e+000	3.669060e+000
7.285600e+000	7.293670e+000	3.681890e+000
7.297100e+000	7.277040e+000	3.694140e+000
7.308100e+000	7.237320e+000	3.706800e+000
7.320300e+000	7.194910e+000	3.719240e+000
7.332500e+000	7.154760e+000	3.732390e+000
7.343800e+000	7.038680e+000	3.747200e+000
7.356500e+000	6.015390e+000	3.795570e+000
7.372400e+000	5.416690e+000	3.828780e+000
7.385900e+000	4.818230e+000	3.862220e+000
