Material: 6061-T6 Aluminum
Tension Test Strain Rate: 0.001/s
Extensometer Gauge Length = 12.70 mm (neck formed between extensometer)
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)	Extensometer(mm)
1.306400e+000	9.687570e+000	2.917120e-001
1.314400e+000	9.684380e+000	2.941470e-001
1.326100e+000	9.684710e+000	2.966100e-001
1.335900e+000	9.696070e+000	2.992930e-001
1.345700e+000	9.699790e+000	3.022730e-001
1.355600e+000	9.696070e+000	3.047620e-001
1.366900e+000	9.706620e+000	3.073290e-001
1.376800e+000	9.699550e+000	3.100120e-001
1.387800e+000	9.700210e+000	3.127300e-001
1.398900e+000	9.706470e+000	3.156230e-001
1.410000e+000	9.708370e+000	3.178290e-001
1.421500e+000	9.702300e+000	3.207390e-001
1.429800e+000	9.718510e+000	3.231290e-001
1.440800e+000	9.717430e+000	3.259640e-001
1.449400e+000	9.716540e+000	3.285720e-001
1.461500e+000	9.713020e+000	3.311490e-001
1.472100e+000	9.726410e+000	3.338870e-001
1.482500e+000	9.715940e+000	3.365760e-001
1.492500e+000	9.730610e+000	3.389240e-001
1.502700e+000	9.737340e+000	3.417630e-001
1.514500e+000	9.736750e+000	3.445140e-001
1.525200e+000	9.735820e+000	3.473680e-001
1.535600e+000	9.748850e+000	3.501930e-001
1.547000e+000	9.733620e+000	3.529470e-001
1.556700e+000	9.743420e+000	3.555110e-001
1.568600e+000	9.747620e+000	3.581100e-001
1.578700e+000	9.740470e+000	3.609750e-001
1.589600e+000	9.748460e+000	3.637430e-001
1.599600e+000	9.745840e+000	3.662120e-001
1.610100e+000	9.748370e+000	3.687090e-001
1.621300e+000	9.761540e+000	3.717600e-001
1.631000e+000	9.758800e+000	3.743100e-001
1.640200e+000	9.758530e+000	3.770990e-001
1.652300e+000	9.764340e+000	3.796730e-001
1.662100e+000	9.774630e+000	3.824410e-001
1.673200e+000	9.768280e+000	3.849870e-001
1.683600e+000	9.768370e+000	3.878540e-001
1.693400e+000	9.781600e+000	3.903390e-001
1.705200e+000	9.777370e+000	3.931600e-001
1.713800e+000	9.777310e+000	3.956510e-001
1.724500e+000	9.788270e+000	3.980010e-001
1.735400e+000	9.778230e+000	4.007020e-001
1.745300e+000	9.783150e+000	4.031030e-001
1.755200e+000	9.792980e+000	4.057700e-001
1.765500e+000	9.788690e+000	4.085840e-001
1.776000e+000	9.793790e+000	4.112900e-001
1.787700e+000	9.799600e+000	4.138680e-001
1.798200e+000	9.799420e+000	4.167110e-001
1.809200e+000	9.804640e+000	4.193760e-001
1.820200e+000	9.810090e+000	4.217510e-001
1.829100e+000	9.811700e+000	4.243730e-001
1.840900e+000	9.805920e+000	4.274130e-001
1.851900e+000	9.812380e+000	4.297730e-001
1.861800e+000	9.814470e+000	4.324970e-001
1.871000e+000	9.818140e+000	4.352470e-001
1.882800e+000	9.822640e+000	4.378200e-001
1.894100e+000	9.820070e+000	4.404860e-001
1.903300e+000	9.827260e+000	4.430630e-001
1.913700e+000	9.836410e+000	4.456130e-001
1.926500e+000	9.823020e+000	4.483100e-001
1.934900e+000	9.828980e+000	4.508360e-001
1.944300e+000	9.842930e+000	4.531280e-001
1.955800e+000	9.834260e+000	4.558320e-001
1.966100e+000	9.837420e+000	4.587380e-001
1.977000e+000	9.841650e+000	4.612160e-001
1.986800e+000	9.837240e+000	4.637540e-001
1.997600e+000	9.842400e+000	4.661700e-001
2.006700e+000	9.848330e+000	4.686920e-001
2.017800e+000	9.852230e+000	4.713760e-001
2.029300e+000	9.847850e+000	4.741370e-001
2.038900e+000	9.861830e+000	4.766720e-001
2.049500e+000	9.863970e+000	4.795490e-001
2.059300e+000	9.862780e+000	4.821390e-001
2.070000e+000	9.881320e+000	4.849780e-001
2.081000e+000	9.874190e+000	4.875200e-001
2.093500e+000	9.876940e+000	4.903580e-001
2.103600e+000	9.871990e+000	4.933240e-001
